product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Technical Infrastructure,United States,M A MORTENSON COMPANY,NORTH AMERICA,2025-04-28,1,1,0,0,0
Finance,null,HCL TECHNOLOGIES LTD,NORTH AMERICA,2025-05-02,3,3,0,0,0
Platforms + Ecosystems,India,HCL TECHNOLOGIES LTD,APAC,2025-04-29,5,2,3,3,0
Devices & Services,India,TECH MAHINDRA LIMITED,APAC,2025-04-28,9,1,8,0,8
T&S,Malaysia,ACCENTURE PLC,APAC,2025-04-29,4,2,2,0,2
POps,China,DELOITTE,APAC,2025-04-28,3,3,0,0,0
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,3,0,0,0
REWS,United States,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-28,2,2,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,3,1,1,0
POps,India,RANDSTAD NV,APAC,2025-04-30,14,2,12,0,12
T&S,India,ACCENTURE PLC,APAC,2025-04-28,4,3,1,1,0
REWS,India,COMPASS GROUP PLC,APAC,2025-05-01,3,3,0,0,0
Ads & Commerce,India,GLOBALLOGIC INC,APAC,2025-04-29,1,1,0,0,0
Waymo,Belgium,LS EUROPE LOGOS,EMEA,2025-05-02,8,3,5,1,4
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,6,1,5,5,0
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-29,5,2,3,2,1
T&S,Philippines,ACCENTURE PLC,APAC,2025-05-02,7,2,5,1,4
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,3,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-28,5,1,4,4,0
Ads & Commerce,Poland,TELUS,EMEA,2025-04-28,2,2,0,0,0
Technical Infrastructure,United Kingdom,CBRE GROUP INC,EMEA,2025-04-28,7,1,6,2,4
T&S,Philippines,ACCENTURE PLC,APAC,2025-05-02,7,2,5,4,1
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,3,1,0,1
REWS,null,SODEXO,APAC,2025-05-02,3,3,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
Cloud,India,BRISTLECONE INC.,APAC,2025-04-29,10,1,9,1,8
Access,United States,IBEX HOLDINGS LIMITED,NORTH AMERICA,2025-05-02,6,3,3,0,3
REWS,Philippines,JONES LANG LASALLE INC,APAC,2025-04-29,4,4,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,"EPC PROJECT MANAGEMENT CONSULTING, LLC",NORTH AMERICA,2025-04-29,8,3,5,2,3
Technical Infrastructure,United States,"CBM OF AMERICA, INC. (VENDOR)",NORTH AMERICA,2025-04-28,11,2,9,1,8
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-04-28,5,4,1,0,1
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-05-01,6,1,5,5,0
Cloud,Philippines,HCL TECHNOLOGIES LTD,APAC,2025-05-02,12,1,11,0,11
YouTube,India,WIPRO LIMITED,APAC,2025-04-29,11,4,7,6,1
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-28,10,2,8,6,2
Marketing,United States,MARVEL MARKETERS LLC,NORTH AMERICA,2025-04-30,5,2,3,1,2
Cloud,India,INFOSYS,APAC,2025-04-29,2,1,1,0,1
Technical Infrastructure,United States,LEDCOR IP HOLDINGS LTD,NORTH AMERICA,2025-04-29,3,3,0,0,0
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-29,6,5,1,0,1
gTech,Colombia,CONCENTRIX,LATAM,2025-04-29,2,2,0,0,0
REWS,null,COMPASS GROUP PLC,APAC,2025-05-01,3,3,0,0,0
REWS,United States,CBRE GROUP INC,NORTH AMERICA,2025-04-29,9,1,8,0,8
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-29,5,3,2,2,0
Ads & Commerce,Poland,TELUS,EMEA,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,"ROONEY HOLDINGS, INC.",NORTH AMERICA,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-30,2,1,1,1,0
gTech,Philippines,ACCENTURE PLC,APAC,2025-04-30,4,3,1,1,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-28,8,1,7,1,6
T&S,Malaysia,ACCENTURE PLC,APAC,2025-04-28,3,2,1,0,1
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,7,3,4,3,1
gCS,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,4,3,1,1,0
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-05-02,9,4,5,4,1
REWS,Spain,CBRE GROUP INC,EMEA,2025-05-01,3,3,0,0,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-05-02,3,3,0,0,0
REWS,null,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-29,10,3,7,0,7
Corp Eng,India,MOVATE TECHNOLOGIES PRIVATE LIMITED,APAC,2025-04-28,5,2,3,1,2
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,2,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-28,5,1,4,4,0
Devices & Services,United States,MOSAIC US HOLDINGS INC,NORTH AMERICA,2025-04-28,4,3,1,0,1
Platforms + Ecosystems,United States,CIENET INTERNATIONAL LLC,NORTH AMERICA,2025-05-02,3,3,0,0,0
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,5,1,4,0,4
Global Affairs (w/o T&S),Philippines,ACCENTURE PLC,APAC,2025-04-29,1,1,0,0,0
Ads & Commerce,India,"APPLAUSE APP QUALITY, INC",APAC,2025-04-30,6,2,4,4,0
Platforms + Ecosystems,United States,"PURPLE, ROCK, SCISSORS LLC",NORTH AMERICA,2025-04-30,6,3,3,2,1
REWS,United Kingdom,FIRST,EMEA,2025-05-01,5,2,3,3,0
Corp Eng,India,IBM CORPORATION,APAC,2025-04-30,4,4,0,0,0
T&S,null,TELEPERFORMANCE SE,LATAM,2025-04-28,3,3,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-05-01,4,3,1,1,0
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,1,3,0,3
Access,United States,IBEX HOLDINGS LIMITED,NORTH AMERICA,2025-05-02,9,4,5,2,3
Waymo,United States,AMERIT FLEET SOLUTIONS INC.,NORTH AMERICA,2025-04-28,1,1,0,0,0
Technical Infrastructure,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-05-02,10,3,7,6,1
YouTube,India,GENPACT LIMITED,APAC,2025-04-29,3,3,0,0,0
Cloud,India,ACCENTURE PLC,APAC,2025-04-28,8,3,5,3,2
Corp Eng,India,VIRTUSA CORPORATION,APAC,2025-04-29,3,2,1,1,0
REWS,United States,PFC GROUP OF COMPANIES,NORTH AMERICA,2025-04-29,4,3,1,0,1
YouTube,Romania,GENPACT LIMITED,EMEA,2025-04-29,5,4,1,0,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-29,5,3,2,0,2
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,2,5,3,2
Waymo,Philippines,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,3,2,1,1,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,3,3,0,0,0
gCS,India,ACCENTURE PLC,APAC,2025-04-30,6,2,4,4,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,1,2,1,1
Finance,United States,"MAGNIT, LLC",NORTH AMERICA,2025-04-29,8,3,5,0,5
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-01,3,3,0,0,0
Marketing,Indonesia,MASH BRANDS PTY LTD,APAC,2025-04-30,5,2,3,0,3
gTech,Germany,VACO,EMEA,2025-05-02,7,3,4,3,1
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Access,United States,HR GREEN INC,NORTH AMERICA,2025-04-30,5,2,3,1,2
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
Google.org,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,4,4,0,0,0
Technical Infrastructure,United States,"BARRY-WEHMILLER DESIGN GROUP, INC.",NORTH AMERICA,2025-04-30,16,2,14,0,14
T&S,India,WIPRO LIMITED,APAC,2025-05-01,4,3,1,1,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-29,4,3,1,0,1
Learning and Sustainability,United States,LEFT FIELD LABS LLC,NORTH AMERICA,2025-04-30,16,3,13,0,13
Technical Infrastructure,null,EXYTE GMBH,EMEA,2025-05-02,3,3,0,0,0
Technical Infrastructure,Finland,FIBER HIGHWAY FINLAND OY,EMEA,2025-04-28,2,2,0,0,0
Platforms + Ecosystems,United States,WIPRO LIMITED,NORTH AMERICA,2025-04-30,3,3,0,0,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-29,1,1,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,1,0
Access,United States,SORENSEN CRAIG F CONSTRUCTION INC,NORTH AMERICA,2025-04-28,7,1,6,0,6
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,1,2,0,2
Global Affairs (w/o T&S),Singapore,LAWYERS ON DEMAND LIMITED,APAC,2025-04-29,3,2,1,1,0
Corp Eng,India,IBM CORPORATION,APAC,2025-04-28,3,1,2,0,2
Technical Infrastructure,United States,"ROONEY HOLDINGS, INC.",NORTH AMERICA,2025-05-01,3,2,1,1,0
REWS,null,ELECTROSONIC LIMITED,NORTH AMERICA,2025-04-28,3,3,0,0,0
YouTube,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,2,2,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-04-30,9,1,8,8,0
YouTube,India,TELEPERFORMANCE SE,APAC,2025-04-28,4,2,2,0,2
YouTube,Philippines,TECH MAHINDRA LIMITED,APAC,2025-05-02,11,2,9,0,9
gTech,Brazil,CONCENTRIX,LATAM,2025-04-29,6,3,3,3,0
Technical Infrastructure,United States,MARK G ANDERSON CONSULTANTS INC,NORTH AMERICA,2025-04-28,8,2,6,0,6
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-30,2,1,1,0,1
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-29,3,2,1,1,0
Cloud,United States,"MAGNIT, LLC",NORTH AMERICA,2025-05-01,7,4,3,3,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-29,6,2,4,3,1
Access,Brazil,GLOBANT LLC,LATAM,2025-04-29,2,2,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-30,7,1,6,2,4
REWS,Australia,CHALLENGER SECURITY PTY LTD,APAC,2025-05-01,7,4,3,2,1
Cloud,United States,HCL TECHNOLOGIES LTD,NORTH AMERICA,2025-04-28,4,4,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-29,6,3,3,2,1
Technical Infrastructure,Denmark,QVISTGAARD IS,EMEA,2025-05-01,3,3,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
gTech,India,GENPACT LIMITED,APAC,2025-04-29,4,4,0,0,0
POps,null,WIPRO LIMITED,EMEA,2025-05-02,3,3,0,0,0
gCS,Philippines,CONCENTRIX,APAC,2025-04-30,2,2,0,0,0
Platforms + Ecosystems,India,MARKETSTAR CORPORATION,APAC,2025-04-28,2,2,0,0,0
YouTube,United States,TELEPERFORMANCE SE,NORTH AMERICA,2025-04-30,5,1,4,2,2
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-30,2,2,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-29,9,1,8,0,8
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-28,4,2,2,2,0
Devices & Services,United States,MOSAIC US HOLDINGS INC,NORTH AMERICA,2025-04-28,5,2,3,2,1
X,India,INFOCUSP INNOVATIONS LLP,APAC,2025-04-30,2,1,1,0,1
Technical Infrastructure,United States,LEDCOR IP HOLDINGS LTD,NORTH AMERICA,2025-04-29,3,3,0,0,0
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,3,3,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,1,2,1,1
YouTube,Greece,TELEPERFORMANCE SE,EMEA,2025-05-02,4,3,1,1,0
Waymo,United States,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,2025-04-30,7,3,4,2,2
gTech,Colombia,CONCENTRIX,LATAM,2025-04-30,3,2,1,0,1
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,2,0,0,0
gTech,Malaysia,TELEDIRECT PTE LTD,APAC,2025-04-28,2,2,0,0,0
Core (w/o Corp Eng),United States,NCC GROUP,NORTH AMERICA,2025-05-01,14,3,11,10,1
Technical Infrastructure,United States,VIKING ENGINEERING AND CONSTRUCTION LLC,NORTH AMERICA,2025-04-29,11,3,8,6,2
Devices & Services,India,TESSOLVE SEMICONDUCTOR PVT LTD,APAC,2025-05-02,3,3,0,0,0
POps,India,RANDSTAD NV,APAC,2025-04-29,13,3,10,2,8
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,1,3,3,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-02,3,3,0,0,0
Platforms + Ecosystems,India,ITTIAM SYSTEMS PVT LTD,APAC,2025-04-29,7,3,4,0,4
POps,India,RANDSTAD NV,APAC,2025-04-30,14,2,12,5,7
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-30,2,2,0,0,0
Technical Infrastructure,Thailand,WOOD INTERNATIONAL LIMITED,APAC,2025-04-28,3,1,2,1,1
REWS,null,COMPASS GROUP PLC,APAC,2025-05-02,3,3,0,0,0
YouTube,India,CONCENTRIX,APAC,2025-05-01,5,3,2,1,1
Technical Infrastructure,Brazil,PROSEGUR SA,LATAM,2025-04-28,4,2,2,2,0
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-29,4,3,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-05-02,5,3,2,1,1
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,3,0,0,0
Corp Eng,Singapore,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,APAC,2025-04-29,4,2,2,0,2
Technical Infrastructure,null,AIDAN STRAIN ELECTRICAL ENGINEERING LIMITED,EMEA,2025-04-28,2,2,0,0,0
Cloud,Spain,TELEPERFORMANCE SE,EMEA,2025-04-28,3,3,0,0,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-05-02,15,5,10,0,10
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,9,4,5,4,1
gTech,Guatemala,TELUS,LATAM,2025-04-29,3,2,1,1,0
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-28,3,3,0,0,0
YouTube,Ireland,ACCENTURE PLC,EMEA,2025-04-28,4,1,3,0,3
Cloud,Mexico,TATA GROUP,LATAM,2025-04-29,6,3,3,1,2
Waymo,United States,AMERIT FLEET SOLUTIONS INC.,NORTH AMERICA,2025-04-29,2,2,0,0,0
POps,India,RANDSTAD NV,APAC,2025-04-29,13,3,10,8,2
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,4,3,1,1,0
Cloud,India,CLOUDSUFI INC.,APAC,2025-05-02,14,3,11,0,11
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,2,3,1,2
YouTube,India,CONCENTRIX,APAC,2025-04-30,2,3,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,0,1
Cloud,India,BRISTLECONE INC.,APAC,2025-04-30,11,1,10,0,10
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,2,5,0,5
Ads & Commerce,United States,EPAM SYSTEMS INC,NORTH AMERICA,2025-04-30,3,2,1,0,1
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-28,6,2,4,4,0
REWS,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-01,7,3,4,3,1
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-30,2,2,0,0,0
YouTube,India,TATA GROUP,APAC,2025-04-29,3,2,1,1,0
Waymo,United States,ABM INDUSTRIES INCORPORATED,NORTH AMERICA,2025-04-28,2,2,0,0,0
REWS,United States,DELOITTE,NORTH AMERICA,2025-04-29,5,1,4,2,2
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-04-28,11,3,8,7,1
gCS,Philippines,CONCENTRIX,APAC,2025-04-30,2,2,0,0,0
Cloud,Mexico,TATA GROUP,LATAM,2025-04-28,22,6,16,15,1
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,3,0,0,0
REWS,United States,ACCENTURE PLC,NORTH AMERICA,2025-04-30,4,3,1,1,0
REWS,India,G4S PLC,APAC,2025-04-29,3,3,0,0,0
Corp Eng,India,ASTREYA PARTNERS INC,APAC,2025-05-02,7,1,6,6,0
T&S,Costa Rica,TELEPERFORMANCE SE,LATAM,2025-04-30,5,3,2,1,1
YouTube,India,WIPRO LIMITED,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,3,1,1,0
REWS,India,SODEXO,APAC,2025-05-02,3,3,0,0,0
gTech,India,VIRTUSA CORPORATION,APAC,2025-05-02,3,3,0,0,0
POps,India,RANDSTAD NV,APAC,2025-05-02,7,2,5,5,0
gCS,Philippines,CONCENTRIX,APAC,2025-05-01,3,2,1,0,1
gTech,Sweden,"PRO UNLIMITED, INC. (VENDOR)",EMEA,2025-05-01,3,2,1,1,0
Cloud,United States,ACCENTURE PLC,NORTH AMERICA,2025-05-02,4,3,1,0,1
Marketing,United Kingdom,ADECCO UK LIMITED,EMEA,2025-04-30,13,8,5,3,2
gTech,Philippines,CONCENTRIX,APAC,2025-04-28,5,2,3,0,3
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-28,5,3,2,2,0
REWS,United Kingdom,FIRST,EMEA,2025-05-02,6,3,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-29,4,3,1,1,0
GBO (w/o gTech & gCS),Singapore,CODIMITE PTE LTD,APAC,2025-04-30,2,2,0,0,0
Technical Infrastructure,United States,"AKRAYA, INC",NORTH AMERICA,2025-05-02,7,3,4,3,1
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,2,1,0,1
YouTube,United States,COLLABERA LLC,NORTH AMERICA,2025-05-01,9,5,4,0,4
Technical Infrastructure,United States,E2 OPTICS,NORTH AMERICA,2025-05-01,16,3,13,12,1
gTech,Portugal,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-30,4,3,1,0,1
Cloud,Greece,TELEPERFORMANCE SE,EMEA,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-29,2,2,0,0,0
YouTube,Greece,TELEPERFORMANCE SE,EMEA,2025-04-30,2,2,0,0,0
Cloud,Romania,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-29,5,1,4,0,4
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,2,5,0,5
Corp Eng,United States,ASTREYA PARTNERS INC,NORTH AMERICA,2025-04-30,5,1,4,4,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,1,2,0,2
Cloud,Brazil,SURESKILLS LIMITED,LATAM,2025-05-02,7,2,5,0,5
gTech,United States,VACO,NORTH AMERICA,2025-04-30,5,2,3,1,2
gTech,India,TELEPERFORMANCE SE,APAC,2025-05-01,4,1,3,3,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,3,4,4,0
Cloud,Brazil,ACCENTURE PLC,LATAM,2025-04-28,3,2,1,0,1
YouTube,United States,ACCENTURE PLC,NORTH AMERICA,2025-05-02,4,3,1,0,1
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-05-01,3,3,0,0,0
YouTube,Ireland,ACCENTURE PLC,EMEA,2025-04-28,3,2,1,0,1
Access,United States,INFOGAIN CORPORATION,NORTH AMERICA,2025-04-28,1,1,0,0,0
YouTube,Philippines,TECH MAHINDRA LIMITED,APAC,2025-05-02,11,2,9,7,2
Technical Infrastructure,Chile,SISTEMAS CONTRA INCENDIOS EUROCOMERCIAL LTDA,LATAM,2025-04-29,4,4,0,0,0
Devices & Services,null,TEZERAKT LLC,NORTH AMERICA,2025-04-28,3,3,0,0,0
Technical Infrastructure,United States,"APEX INFRASTRUCTURE CONSULTANTS, LLC",NORTH AMERICA,2025-04-28,9,3,6,1,5
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,1,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-30,2,2,0,0,0
Platforms + Ecosystems,India,MARKETSTAR CORPORATION,APAC,2025-04-28,1,1,0,0,0
Finance,United States,KPMG,NORTH AMERICA,2025-05-02,9,2,7,0,7
T&S,India,ACCENTURE PLC,APAC,2025-05-02,6,4,2,0,2
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,7,3,4,4,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-29,4,1,3,0,3
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-05-01,8,2,6,6,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-29,10,4,6,1,5
Cloud,India,VIRTUSA CORPORATION,APAC,2025-04-28,2,2,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
YouTube,United States,TELEPERFORMANCE SE,NORTH AMERICA,2025-04-30,4,2,2,2,0
Platforms + Ecosystems,Philippines,ACCENTURE PLC,APAC,2025-05-01,10,4,6,3,3
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-28,4,3,1,1,0
gCS,Philippines,CONCENTRIX,APAC,2025-05-01,3,2,1,1,0
REWS,Romania,CBRE GROUP INC,EMEA,2025-05-02,3,3,0,0,0
T&S,Portugal,ACCENTURE PLC,EMEA,2025-04-29,10,1,9,0,9
YouTube,India,GENPACT LIMITED,APAC,2025-04-29,4,2,2,1,1
Platforms + Ecosystems,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,2,2,0,0,0
Waymo,United States,AMERIT FLEET SOLUTIONS INC.,NORTH AMERICA,2025-04-30,3,2,1,1,0
YouTube,India,ACCENTURE PLC,APAC,2025-05-02,6,3,3,3,0
POps,India,RANDSTAD NV,APAC,2025-04-28,3,3,0,0,0
Access,United States,"GARY D. NELSON ASSOCIATES, INC.",NORTH AMERICA,2025-05-01,4,3,1,0,1
T&S,India,CONCENTRIX,APAC,2025-05-02,5,3,2,2,0
REWS,null,SODEXO,APAC,2025-05-02,3,3,0,0,0
Global Affairs (w/o T&S),United States,VACO,NORTH AMERICA,2025-04-29,4,3,1,0,1
Geo,Poland,EXECUTE APPS LTD,EMEA,2025-04-28,9,2,7,1,6
T&S,India,ACCENTURE PLC,APAC,2025-04-28,5,2,3,0,3
Waymo,United States,UBER TECHNOLOGIES INC,NORTH AMERICA,2025-04-30,2,2,0,0,0
POps,France,WIPRO LIMITED,EMEA,2025-04-29,20,3,17,0,17
T&S,India,WIPRO LIMITED,APAC,2025-05-02,3,3,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,0,1
Technical Infrastructure,Netherlands,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,2025-04-28,4,1,3,3,0
Technical Infrastructure,Chile,SISTEMAS CONTRA INCENDIOS EUROCOMERCIAL LTDA,LATAM,2025-04-28,3,3,0,0,0
YouTube,United States,ACCENTURE PLC,NORTH AMERICA,2025-05-02,4,2,2,2,0
Technical Infrastructure,United States,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,2025-05-01,17,3,14,14,0
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-04-29,6,3,3,1,2
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-30,2,1,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,2,1,0,1
REWS,null,THE GASTRONOME LTD,EMEA,2025-04-28,3,3,0,0,0
Marketing,United States,"GARY D. NELSON ASSOCIATES, INC.",NORTH AMERICA,2025-04-28,7,4,3,0,3
Cloud,India,BRISTLECONE INC.,APAC,2025-04-28,9,1,8,1,7
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-29,3,3,0,0,0
POps,Canada,HR PATH SAS,NORTH AMERICA,2025-04-29,12,4,8,8,0
Technical Infrastructure,United Kingdom,ARCADIS NV,EMEA,2025-05-01,6,2,4,4,0
gCS,Canada,TELEPERFORMANCE SE,NORTH AMERICA,2025-05-02,7,1,6,2,4
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,4,3,1,0,1
gTech,United States,VACO,NORTH AMERICA,2025-04-28,3,1,2,0,2
POps,India,RANDSTAD NV,APAC,2025-04-30,10,1,9,2,7
REWS,India,SODEXO,APAC,2025-05-02,3,3,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,3,0,0,0
YouTube,Greece,TELEPERFORMANCE SE,EMEA,2025-05-02,4,3,1,1,0
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,0,2
REWS,United States,COMPASS GROUP PLC,NORTH AMERICA,2025-05-02,9,1,8,0,8
T&S,Romania,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-05-03,4,3,1,0,1
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,3,0,0,0
Technical Infrastructure,Belgium,SECURITAS AB,EMEA,2025-04-28,3,2,1,1,0
Waymo,United States,MAGNA INTERNATIONAL INC.,NORTH AMERICA,2025-04-28,5,4,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-05-01,4,3,1,1,0
