product_area,location_country,pw_reset_date,supplier_name,location_region,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Cloud,El Salvador,2025-05-02,TELUS,LATAM,4,1,4,4,3,4,3,1,1,1,0
Devices & Services,India,2025-04-30,HCL TECHNOLOGIES LTD,APAC,2,1,2,2,3,2,3,2,1,0,0
T&S,India,2025-05-02,WIPRO LIMITED,APAC,4,3,4,4,1,4,1,4,3,0,3
REWS,India,null,SODEXO,APAC,3,1,3,3,3,3,3,null,1,0,0
T&S,India,2025-05-01,WIPRO LIMITED,APAC,4,1,6,6,5,4,3,3,1,0,1
Access,United States,2025-04-29,"ALAN PLUMMER ASSOCIATES, INC",NORTH AMERICA,10,9,14,14,1,10,1,1,9,0,9
REWS,null,null,CBRE GROUP INC,EMEA,3,1,3,3,3,3,3,null,1,0,0
Cloud,Philippines,2025-04-30,HCL TECHNOLOGIES LTD,APAC,10,9,14,14,1,10,1,9,9,0,9
Technical Infrastructure,United States,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,7,4,9,9,3,7,3,2,4,4,0
Ads & Commerce,Poland,2025-04-30,TELUS,EMEA,4,1,6,6,5,4,3,2,1,0,1
Cloud,India,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,3,1,3,3,3,3,3,1,1,0,0
REWS,Taiwan,2025-04-29,JONES LANG LASALLE INC,APAC,4,1,6,6,5,4,3,3,1,0,1
Technical Infrastructure,null,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
YouTube,India,2025-04-28,GENPACT LIMITED,APAC,3,1,5,5,2,3,2,1,1,1,0
gTech,Germany,2025-05-01,VACO,EMEA,6,4,8,8,2,6,2,1,4,4,0
POps,India,null,DELOITTE,APAC,3,1,5,5,5,3,3,null,1,0,0
Finance,India,2025-04-29,ACCENTURE PLC,APAC,4,3,6,6,1,4,1,null,3,3,0
REWS,United States,2025-05-02,JONES LANG LASALLE INC,NORTH AMERICA,7,4,9,9,5,7,3,null,4,3,1
Access,United States,2025-05-01,DYCOM INDUSTRIES,NORTH AMERICA,16,14,22,22,2,16,2,null,14,12,2
Ads & Commerce,Poland,2025-04-30,TELUS,EMEA,4,1,6,6,5,4,3,1,1,0,1
T&S,India,2025-04-28,WIPRO LIMITED,APAC,4,3,6,6,1,4,1,4,3,0,3
REWS,null,null,SODEXO,APAC,3,1,3,3,3,3,3,null,1,0,0
YouTube,India,2025-04-28,GENPACT LIMITED,APAC,3,1,5,5,2,3,2,1,1,1,0
REWS,Romania,2025-04-28,SECURITAS AB,EMEA,4,1,6,6,6,4,4,1,1,0,0
REWS,United States,null,PROPARK AMERICA WEST LLC,NORTH AMERICA,2,1,4,4,4,2,2,null,1,0,0
Technical Infrastructure,null,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
Waymo,India,2025-05-01,WIPRO LIMITED,APAC,3,2,3,3,1,3,1,null,2,2,0
Platforms + Ecosystems,null,null,QUEST GLOBAL SERVICES PTE. LTD.,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Devices & Services,null,null,TESSOLVE SEMICONDUCTOR PVT LTD,APAC,3,1,5,5,5,3,3,null,1,0,0
gCS,Canada,2025-04-30,TELEPERFORMANCE SE,NORTH AMERICA,5,4,7,7,1,5,1,3,4,2,2
Cloud,United States,2025-04-28,DELOITTE,NORTH AMERICA,7,6,11,11,1,7,1,6,6,0,6
Technical Infrastructure,Finland,2025-04-28,FIBER HIGHWAY FINLAND OY,EMEA,4,3,6,6,1,4,1,1,3,0,3
YouTube,Portugal,2025-04-30,GENPACT LIMITED,EMEA,7,4,9,9,3,7,3,3,4,2,2
gCS,Brazil,2025-05-02,TTEC HOLDINGS INC,LATAM,9,3,11,11,8,9,6,3,3,3,0
REWS,Singapore,2025-05-01,JONES LANG LASALLE INC,APAC,7,3,9,9,6,7,4,4,3,3,0
Waymo,India,2025-05-01,WIPRO LIMITED,APAC,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,2025-04-28,SCHENKER,NORTH AMERICA,4,1,6,6,3,4,3,2,1,0,1
Devices & Services,United States,2025-04-28,BAYONE SOLUTIONS INC.,NORTH AMERICA,3,1,5,5,5,3,3,2,1,0,0
REWS,null,null,SWINERTON BUILDERS INC,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,null,null,SCHENKER,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,null,null,EXYTE GMBH,EMEA,3,1,3,3,3,3,3,null,1,0,0
DeepMind,United Kingdom,null,JAGUAR BUILDING SERVICES LIMITED,EMEA,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,null,COMPLETE CLEANING SERVICES LLC.,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Devices & Services,India,2025-04-28,TECH MAHINDRA LIMITED,APAC,9,8,13,13,1,9,1,9,8,8,0
Platforms + Ecosystems,United States,2025-05-02,CIENET INTERNATIONAL LLC,NORTH AMERICA,3,1,3,3,3,3,3,3,1,0,0
T&S,India,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,5,3,7,7,2,5,2,5,3,0,3
T&S,Costa Rica,2025-05-02,TELEPERFORMANCE SE,LATAM,7,4,9,9,5,7,3,null,4,0,4
gCS,Spain,2025-04-29,TELEPERFORMANCE SE,EMEA,5,2,7,7,3,5,3,2,2,2,0
POps,India,2025-04-28,RANDSTAD NV,APAC,12,11,18,18,1,12,1,12,11,0,11
Technical Infrastructure,null,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,null,null,ALPHA SERVICES CORPORATION,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
POps,India,2025-04-28,IBM CORPORATION,APAC,4,1,6,6,3,4,3,3,1,0,1
Cloud,Poland,2025-04-28,TTEC HOLDINGS INC,EMEA,3,1,5,5,5,3,3,3,1,0,0
gTech,Poland,null,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,null,1,0,0
REWS,Ireland,2025-04-30,SYNERGY GLOBAL HOUSING LLC,EMEA,16,13,22,22,3,16,3,15,13,13,0
REWS,United States,null,PROPARK AMERICA WEST LLC,NORTH AMERICA,2,1,4,4,4,2,2,null,1,0,0
gTech,India,2025-04-29,TELEPERFORMANCE SE,APAC,6,3,8,8,3,6,3,3,3,3,0
T&S,Ireland,2025-05-01,ACCENTURE PLC,EMEA,5,3,7,7,4,5,2,4,3,2,1
Marketing,United States,2025-04-29,THE SAGE GROUP,NORTH AMERICA,3,1,5,5,5,3,3,2,1,0,0
Waymo,India,2025-04-30,WIPRO LIMITED,APAC,5,3,7,7,2,5,2,5,3,3,0
Geo,India,2025-04-28,WIPRO LIMITED,APAC,2,1,4,4,4,2,2,2,1,0,0
Technical Infrastructure,null,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
YouTube,United States,2025-05-02,"ANSWERLAB, LLC",NORTH AMERICA,4,1,4,4,3,4,3,2,1,1,0
Finance,Philippines,2025-04-30,ACCENTURE PLC,APAC,5,3,7,7,2,5,2,4,3,3,0
Finance,India,2025-05-02,ACCENTURE PLC,APAC,6,3,8,8,5,6,3,null,3,1,2
Technical Infrastructure,United States,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,4,2,6,6,2,4,2,1,2,1,1
gTech,Philippines,2025-04-28,ACCENTURE PLC,APAC,2,1,4,4,4,2,2,2,1,0,0
Technical Infrastructure,United States,2025-04-29,ALLIED UNIVERSAL,NORTH AMERICA,4,1,6,6,6,4,4,3,1,0,0
Ads & Commerce,Poland,2025-04-30,HCL TECHNOLOGIES LTD,EMEA,2,1,2,2,2,2,2,1,1,0,0
T&S,India,2025-05-01,WIPRO LIMITED,APAC,4,1,6,6,5,4,3,2,1,0,1
YouTube,Portugal,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,6,3,8,8,3,6,3,2,3,0,3
gTech,India,2025-04-30,TECH MAHINDRA LIMITED,APAC,3,1,5,5,5,3,3,1,1,0,0
YouTube,India,2025-05-02,WIPRO LIMITED,APAC,3,1,3,3,3,3,3,2,1,0,0
gTech,India,2025-04-29,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,4,1,6,6,5,4,3,null,1,1,0
Cloud,Spain,2025-04-29,WEBHELP GROUP,EMEA,4,3,6,6,1,4,1,3,3,0,3
Devices & Services,United States,2025-04-30,LOGISTICS PLUS INC.,NORTH AMERICA,6,3,8,8,3,6,3,3,3,0,3
Cloud,India,2025-05-02,INFOSYS,APAC,8,4,10,10,6,8,4,3,4,0,4
REWS,null,null,SODEXO,NORTH AMERICA,4,1,6,6,6,4,4,null,1,0,0
REWS,Finland,null,COMPASS GROUP PLC,EMEA,3,1,5,5,5,3,3,null,1,0,0
REWS,null,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
REWS,United States,2025-05-02,JONES LANG LASALLE INC,NORTH AMERICA,7,4,9,9,5,7,3,2,4,2,2
T&S,Portugal,2025-04-28,ACCENTURE PLC,EMEA,3,1,5,5,2,3,2,2,1,0,1
Cloud,United States,2025-04-28,BRILLIANT MUSE LLC,NORTH AMERICA,5,2,7,7,3,5,3,5,2,2,0
REWS,India,2025-04-28,JAGUAR SECURITY SERVICES PVT. LTD.,APAC,4,1,6,6,3,4,3,null,1,1,0
gTech,India,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,3,1,3,3,3,3,3,1,1,0,0
gTech,India,null,TELEPERFORMANCE SE,APAC,3,1,5,5,5,3,3,null,1,0,0
POps,South Korea,null,DELOITTE,APAC,3,1,5,5,5,3,3,null,1,0,0
gTech,United States,2025-05-02,VACO,NORTH AMERICA,7,4,9,9,5,7,3,3,4,2,2
REWS,United States,2025-04-29,COMPASS GROUP PLC,NORTH AMERICA,6,3,8,8,3,6,3,6,3,2,1
T&S,India,2025-04-28,WIPRO LIMITED,APAC,4,3,6,6,1,4,1,4,3,3,0
Cloud,United States,2025-04-29,TRILYON INC,NORTH AMERICA,2,1,4,4,4,2,2,1,1,0,0
Waymo,United States,2025-04-28,AMERIT FLEET SOLUTIONS INC.,NORTH AMERICA,1,1,3,3,3,1,1,1,1,0,0
gTech,India,2025-04-28,TELEPERFORMANCE SE,APAC,5,2,7,7,3,5,3,3,2,1,1
gTech,India,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,4,1,6,6,5,4,3,1,1,1,0
T&S,Philippines,2025-04-28,ACCENTURE PLC,APAC,9,6,13,13,3,9,3,9,6,0,6
gCS,Brazil,2025-04-29,ATENTO S.A.,LATAM,3,1,5,5,5,3,3,2,1,0,0
POps,India,2025-04-28,RANDSTAD NV,APAC,9,8,13,13,1,9,1,9,8,0,8
YouTube,India,2025-04-29,CONCENTRIX,APAC,2,1,4,4,4,2,2,1,1,0,0
Cloud,United States,2025-04-29,MEDIATEK INC,NORTH AMERICA,6,3,8,8,3,6,3,6,3,0,3
Access,Poland,2025-04-30,EPAM SYSTEMS INC,EMEA,5,2,7,7,5,5,3,1,2,2,0
gCS,China,2025-04-30,ACCENTURE PLC,APAC,12,8,16,16,4,12,4,8,8,0,8
Technical Infrastructure,United Kingdom,null,SUDLOWS ENTERPRISE SERVICES LIMITED,EMEA,3,1,3,3,3,3,3,null,1,0,0
Waymo,United States,2025-04-30,KPMG,NORTH AMERICA,3,2,5,5,3,3,1,1,2,0,2
T&S,India,2025-04-29,CONCENTRIX,APAC,2,1,4,4,3,2,1,1,1,0,1
YouTube,India,2025-04-29,TATA GROUP,APAC,4,1,6,6,6,4,4,3,1,0,0
T&S,India,2025-04-30,WIPRO LIMITED,APAC,3,1,5,5,5,3,3,2,1,0,0
T&S,Poland,2025-04-30,ACCENTURE PLC,EMEA,5,2,7,7,5,5,3,3,2,2,0
T&S,India,2025-05-01,WIPRO LIMITED,APAC,4,1,6,6,5,4,3,2,1,1,0
Platforms + Ecosystems,India,2025-04-28,ITTIAM SYSTEMS PVT LTD,APAC,6,3,10,10,5,6,3,6,3,0,3
T&S,India,2025-04-29,WIPRO LIMITED,APAC,6,4,8,8,2,6,2,4,4,4,0
Access,United States,2025-05-01,ALLO HOLDING LLC,NORTH AMERICA,8,5,11,11,4,8,3,3,5,2,3
Ads & Commerce,India,2025-04-28,"APPLAUSE APP QUALITY, INC",APAC,5,1,8,8,5,5,4,5,1,1,0
Technical Infrastructure,United States,null,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
REWS,India,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
REWS,United States,null,COMPASS GROUP PLC,NORTH AMERICA,2,1,2,2,2,2,2,2,1,0,0
POps,India,2025-04-29,RANDSTAD NV,APAC,9,7,13,13,2,9,2,8,7,1,6
REWS,null,null,SODEXO,APAC,3,1,3,3,3,3,3,null,1,0,0
REWS,null,null,ARAMARK HOLDINGS CORPORATION,NORTH AMERICA,3,1,4,4,4,3,3,null,1,0,0
Technical Infrastructure,null,null,SISTEMAS CONTRA INCENDIOS EUROCOMERCIAL LTDA,LATAM,3,1,5,5,5,3,3,null,1,0,0
gTech,India,2025-04-29,GENPACT LIMITED,APAC,3,1,5,5,5,3,3,2,1,0,0
gTech,India,2025-04-29,CONCENTRIX,APAC,4,1,6,6,5,4,3,1,1,0,1
YouTube,India,2025-05-02,ACCENTURE PLC,APAC,6,3,8,8,5,6,3,2,3,3,0
Platforms + Ecosystems,India,2025-04-28,ITTIAM SYSTEMS PVT LTD,APAC,6,3,10,10,5,6,3,6,3,1,2
Global Affairs (w/o T&S),United States,2025-04-28,"CONSILIO, INC",NORTH AMERICA,7,3,11,11,6,7,4,6,3,2,1
Technical Infrastructure,United States,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,7,4,9,9,3,7,3,null,4,3,1
Marketing,Australia,2025-04-30,ALGOMARKETING LTD,APAC,9,5,13,13,6,9,4,7,5,3,2
Search,Malaysia,null,TECH MAHINDRA LIMITED,APAC,3,1,5,5,5,3,3,null,1,0,0
Access,United States,2025-04-28,"ALAN PLUMMER ASSOCIATES, INC",NORTH AMERICA,10,8,14,14,2,10,2,7,8,8,0
Devices & Services,United States,2025-04-29,MOSAIC US HOLDINGS INC,NORTH AMERICA,11,7,15,15,4,11,4,4,7,5,2
T&S,India,2025-04-30,WIPRO LIMITED,APAC,4,2,6,6,4,4,2,null,2,0,2
Waymo,India,2025-05-01,WIPRO LIMITED,APAC,3,1,3,3,3,3,3,null,1,0,0
Marketing,United States,2025-04-29,ACCENTURE PLC,NORTH AMERICA,4,2,6,6,2,4,2,4,2,0,2
Finance,United States,2025-04-28,"DEXIAN, LLC",NORTH AMERICA,5,4,13,13,7,5,1,8,4,4,0
Waymo,United States,2025-05-02,"MAGNIT, LLC",NORTH AMERICA,19,17,31,31,8,19,2,20,17,0,17
REWS,India,null,SODEXO,APAC,3,1,3,3,3,3,3,null,1,0,0
REWS,Poland,null,COMPASS GROUP PLC,EMEA,1,1,3,3,3,1,1,null,1,0,0
T&S,Philippines,2025-04-30,ACCENTURE PLC,APAC,11,8,15,15,3,11,3,9,8,0,8
Access,India,2025-04-30,"CHC CONSULTING, LLC",APAC,18,14,26,26,6,18,4,3,14,12,2
T&S,Philippines,2025-05-02,ACCENTURE PLC,APAC,7,5,9,9,2,7,2,7,5,1,4
Technical Infrastructure,Netherlands,2025-04-28,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,4,2,6,6,2,4,2,1,2,1,1
Technical Infrastructure,United States,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,4,2,6,6,2,4,2,1,2,0,2
Waymo,India,2025-04-28,WIPRO LIMITED,APAC,3,1,5,5,2,3,2,null,1,1,0
gTech,India,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2,1,4,4,4,2,2,1,1,0,0
gCS,India,2025-04-30,ACCENTURE PLC,APAC,6,4,8,8,2,6,2,4,4,4,0
Technical Infrastructure,United States,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
Waymo,Philippines,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,3,1,5,5,2,3,2,1,1,1,0
Marketing,Indonesia,2025-04-30,MASH BRANDS PTY LTD,APAC,5,3,7,7,2,5,2,1,3,0,3
YouTube,Romania,2025-04-29,GENPACT LIMITED,EMEA,5,1,7,7,6,5,4,4,1,0,1
Technical Infrastructure,United States,2025-04-29,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,5,2,7,7,3,5,3,3,2,0,2
Technical Infrastructure,United States,2025-05-02,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,3,1,3,3,3,3,3,1,1,0,0
Waymo,United States,2025-05-01,TRANSDEV,NORTH AMERICA,7,5,9,9,2,7,2,null,5,3,2
Finance,United States,2025-04-29,"MAGNIT, LLC",NORTH AMERICA,8,5,14,14,7,8,3,10,5,0,5
gTech,Germany,2025-05-02,VACO,EMEA,7,4,9,9,5,7,3,1,4,3,1
T&S,India,2025-04-30,WIPRO LIMITED,APAC,3,2,5,5,3,3,1,null,2,1,1
Technical Infrastructure,United States,null,TW CONSTRUCTORS LLC,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
T&S,India,2025-05-02,WIPRO LIMITED,APAC,3,1,3,3,3,3,3,1,1,0,0
Access,United States,2025-04-30,ALLO HOLDING LLC,NORTH AMERICA,12,9,16,16,3,12,3,2,9,8,1
gCS,India,2025-05-02,REGALIX INC,APAC,4,1,4,4,3,4,3,1,1,1,0
YouTube,India,2025-04-28,GENPACT LIMITED,APAC,3,1,5,5,2,3,2,1,1,0,1
GBO (w/o gTech & gCS),Singapore,2025-04-30,CODIMITE PTE LTD,APAC,2,1,2,2,2,2,2,1,1,0,0
Marketing,United States,2025-04-30,"MAGNIT, LLC",NORTH AMERICA,6,1,12,12,11,6,5,6,1,1,0
REWS,United States,2025-04-30,PROPARK AMERICA WEST LLC,NORTH AMERICA,4,2,6,6,4,4,2,4,2,0,2
Cloud,Spain,2025-04-28,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,1,1,0,0
gCS,India,2025-04-28,ACCENTURE PLC,APAC,4,3,6,6,1,4,1,1,3,2,1
gTech,India,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,4,1,4,4,3,4,3,2,1,0,1
gCS,Brazil,2025-04-29,ATENTO S.A.,LATAM,3,1,5,5,5,3,3,2,1,0,0
Devices & Services,United States,2025-05-02,"AKRAYA, INC",NORTH AMERICA,3,1,3,3,3,3,3,1,1,0,0
Platforms + Ecosystems,India,2025-04-28,ITTIAM SYSTEMS PVT LTD,APAC,6,3,10,10,5,6,3,6,3,0,3
YouTube,Philippines,2025-05-02,TECH MAHINDRA LIMITED,APAC,11,10,15,15,1,11,1,10,10,1,9
gTech,United States,2025-04-29,VACO,NORTH AMERICA,4,1,6,6,6,4,4,2,1,0,0
Technical Infrastructure,Ireland,2025-05-02,GERTEK PROJECT MANAGEMENT AND TECHNICAL SERVICES LIMITED,EMEA,14,11,18,18,3,14,3,2,11,3,8
Technical Infrastructure,United States,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2,1,4,4,4,2,2,1,1,0,0
YouTube,India,2025-05-01,WIPRO LIMITED,APAC,13,6,18,18,10,13,7,5,6,5,1
Technical Infrastructure,United States,2025-04-29,SCHENKER,NORTH AMERICA,2,1,4,4,3,2,1,1,1,0,1
Global Affairs (w/o T&S),United States,2025-04-30,"CONSILIO, INC",NORTH AMERICA,9,7,13,13,4,9,2,5,7,0,7
T&S,India,2025-05-02,WIPRO LIMITED,APAC,4,1,4,4,3,4,3,4,1,0,1
Technical Infrastructure,Chile,2025-04-30,GXO LOGISTICS WORLDWIDE LLC,LATAM,6,2,8,8,6,6,4,3,2,0,2
Cloud,United States,2025-05-02,NETAPP INC,NORTH AMERICA,17,12,23,23,7,17,5,1,12,2,10
gCS,India,2025-04-28,TELEDIRECT PTE LTD,APAC,5,1,7,7,7,5,5,4,1,0,0
REWS,Israel,null,YARZIN SELLA MANAGEMENT AND HOLDINGS,EMEA,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,2025-05-02,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,3,1,3,3,3,3,3,1,1,0,0
