cw_num,product_area,person_id,st_created_date,work_order_accepted_date,worker_cost_center,complaince_activation_include_weekend,username,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,parent_supplier_name,is_saksham,location_region,location_type,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,remote_access_date_source,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,manager_hierarchy_user_names,hiring_manager_username,has_equipment,worker_active_flag,onboard_date_v2,derived_onboarding_status,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,is_chromebook,location_site,location_code,manual_onboarding_status,WorkerType,EquipmentAssigned,ChromebookAssigned,source_system,Equipment_Type,reattempt,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation,last_refresh_date,access_flag,access_flag_unrestricted,access_flag_supplier,access_flag_pa,access_flag_supplier_pa,access_flag_manager
G-CW-00969789,gCS,1184458,2025-04-21,2025-04-21,0SM,4,manyay,India,Access Only,2025-04-24,2025-04-01,2025-04-28,WNS (HOLDINGS) LIMITED,WNS (HOLDINGS) LIMITED,NA,APAC,VOVO,null,2025-04-26,2025-04-24,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Ganpati Group,Vendor,1,2025-04-28,2025-04-24,null,NO,null,nakulmakharia|grusche|melissanguyen|jnicoletti|selin|philipps|sundar,nakulmakharia,null,Yes,2025-04-28,6. Onboarded,7,5,2,,IN-REMOTE,IN-REMOTE-GEN,null,Vendor,No,FALSE,all_aboard,Saksham,1,7,7,3,1,4,3,5,3,3,2,2,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969249,Technical Infrastructure,1557162,2025-04-17,2025-04-17,65H,1,atadams,United States,Access Only,2025-04-21,2025-04-01,2025-04-22,ALLIED UNIVERSAL,ALLIED UNIVERSAL,NA,NORTH AMERICA,Special Use,null,null,2025-04-21,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-21,Ganpati Group,Vendor,1,2025-04-22,2025-04-21,null,NO,null,hovenkamp|thibert|danchapman|hviccione|obrienkevin|alexmj|btreynor|tkurian|sundar,hovenkamp,null,Yes,2025-04-22,6. Onboarded,5,3,1,,US-CMH,US-CMH-LCT1A,null,Vendor,No,FALSE,all_aboard,Saksham,1,5,5,4,1,0,4,3,2,2,1,0,1,1745910103306887,UA,Yes,No,No,No,No
G-CW-00962194,Geo,1550016,2025-04-03,2025-04-03,765,17,khatrothg,India,Equipment and Access,2025-04-04,2025-04-01,2025-04-21,ACCENTURE PLC,ACCENTURE PLC,NA,APAC,GOVO,null,null,2025-04-11,2025-05-03,2025-04-19,2025-04-04,FALSE,2025-04-21,Ganpati Group,Vendor,1,2025-04-21,2025-04-11,null,NO,null,shuklaabhinav|ankushsud|gayatriiyer|ckoushik|paddyflynn|cwphillips|nicholas|sundar,shuklaabhinav,NO,Yes,2025-04-21,6. Onboarded,18,12,11,,IN-HYD,IN-HYD-SAR1,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,18,18,1,1,10,8,12,1,6,11,0,11,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969856,Corp Eng,921110,2025-04-21,2025-04-21,943,1,koture,India,Access Only,2025-04-24,2025-04-01,2025-04-25,MOVATE TECHNOLOGIES PRIVATE LIMITED,MOVATE TECHNOLOGIES PRIVATE LIMITED,NA,APAC,GOVO,null,null,2025-04-23,2025-05-08,2025-04-24,2025-04-23,FALSE,2025-04-25,Ganpati Group,Vendor,1,2025-04-25,2025-04-23,null,NO,null,manishtripathy|dchumphrey|debraph|ycsvarma|marcberson|jen|sundar,manishtripathy,null,Yes,2025-04-25,6. Onboarded,4,4,1,,IN-HYD,IN-HYD-SAR2,null,Vendor,No,FALSE,all_aboard,Saksham,1,4,4,3,1,2,2,4,3,2,1,0,1,1745910103306887,UA,Yes,No,No,No,No
G-CW-00968946,gTech,1556469,2025-04-17,2025-04-17,17Y,3,mabjan,India,Equipment and Access,2025-04-18,2025-04-01,2025-04-21,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NA,APAC,VOVO,null,null,2025-04-17,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-21,Ganpati Group,Vendor,1,2025-04-21,2025-04-17,null,NO,null,lhowarth|samanthakish|wayneraven|suemorris|iloughran|sauquet|philipps|sundar,lhowarth,null,Yes,2025-04-21,6. Onboarded,4,2,1,,IN-REMOTE,IN-REMOTE-GEN,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,4,4,1,1,4,1,2,1,1,1,1,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00966379,YouTube,1553927,2025-04-11,2025-04-11,6Q6,9,marciusaustins,Philippines,Equipment and Access,2025-04-14,2025-04-01,2025-04-23,TECH MAHINDRA LIMITED,TECH MAHINDRA LIMITED,NA,APAC,GOVO,null,null,2025-04-13,2025-05-01,2025-04-17,2025-04-17,FALSE,2025-04-22,Ganpati Group,Vendor,1,2025-04-23,2025-04-13,null,NO,null,rfallorina|cdomenici|deepakarora|vicheta|cwire|mecoe|nmohan|sundar,rfallorina,NO,Yes,2025-04-23,6. Onboarded,12,8,7,,PH-MNL,PH-MNL-MHC,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,12,12,3,1,9,2,8,1,1,7,3,4,1745910103306887,UA,Yes,No,No,No,No
G-CW-00963700,Access,1551650,2025-04-07,2025-04-07,7DU,14,wbradfield,United States,Equipment and Access,2025-04-11,2025-04-01,2025-04-25,DYCOM INDUSTRIES,"DYCOM INDUSTRIES, INC.",NA,NORTH AMERICA,VOVO,null,null,2025-04-24,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-25,Ganpati Group,Vendor,1,2025-04-25,2025-04-24,null,NO,null,bshepard|probstm|wspeicher|spellermartone|dhegar|rlaurenzano|dinni|sundar,bshepard,NO,Yes,2025-04-25,6. Onboarded,18,14,10,,US-REMOTE,US-REMOTE-NC,null,Vendor,Yes,FALSE,all_aboard,Non-Saksham,1,18,18,4,1,1,17,14,4,13,10,10,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969895,T&S,1557710,2025-04-21,2025-04-21,7EX,2,madanraju,India,Access Only,2025-04-23,2025-04-01,2025-04-25,WIPRO LIMITED,WIPRO LIMITED,NA,APAC,GOVO,null,null,2025-04-22,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-25,null,Vendor,1,2025-04-25,2025-04-22,null,NO,null,anmolgarg|manishkagarwal|vchandra|jayakumars|kcourington|kwalker|sundar,anmolgarg,null,Yes,2025-04-25,6. Onboarded,4,4,2,,IN-HYD,IN-HYD-SAR3,null,Vendor,No,FALSE,all_aboard,Saksham,1,4,4,2,1,3,1,4,2,1,2,1,1,1745910103306887,UA,Yes,No,No,No,No
G-CW-00966724,gTech,1554348,2025-04-14,2025-04-14,13X,7,eltekya,Portugal,Equipment and Access,2025-04-15,2025-04-01,2025-04-22,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NA,EMEA,VOVO,null,null,2025-04-15,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-21,Ganpati Group,Vendor,1,2025-04-22,2025-04-15,null,NO,null,axemed|pavitbir|jyotsnas|mduggirala|arijit|sauquet|philipps|sundar,axemed,NO,Yes,2025-04-22,6. Onboarded,8,6,5,,PT-REMOTE,PT-REMOTE-GEN,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,8,8,1,1,6,1,6,1,1,5,4,1,1745910103306887,UA,Yes,No,No,No,No
G-CW-00971795,Technical Infrastructure,1559460,2025-04-23,2025-04-23,610,1,badge-1559460,United States,Badge Only,2025-04-25,2025-04-01,null,TW CONSTRUCTORS LLC,TW CONSTRUCTORS LLC,Badge Only,NORTH AMERICA,Special Use,null,null,null,null,null,null,FALSE,null,null,Vendor,1,2025-04-25,null,null,NO,null,awigant|bbrumit|anureddy|allenware|alexmj|btreynor|tkurian|sundar,awigant,null,Yes,2025-04-25,6. Onboarded,2,2,1,,US-CMH,US-CMH-NBY1,null,Vendor,No,FALSE,all_aboard,Saksham,1,2,2,2,null,null,null,2,2,null,0,0,0,1745910103306887,UA,Yes,No,No,No,No
